"words" "occurence" "pval" "tscore"
"spent" 586 0.00467167674331612 -2.82894080608383
"lettuce" 1811 0.00467846806514593 -2.82847580038529
"dough" 249 0.00470830718297653 -2.82643991282758
"no_think" 828 0.00486346654917863 -2.81603818346299
"ruby" 165 0.00494789822736567 -2.81050347747412
"no_know" 1432 0.00494985762082628 -2.81037605155725
"pas" 503 0.00501318169726153 -2.80628223856732
"keeping" 245 0.00508381495152959 -2.80177069902755
"due" 1003 0.00512022104641273 2.79946742805364
"restaurant" 10375 0.00526301310182248 -2.79057410138301
"worker" 230 0.00533608030553656 -2.78610734890825
"no_forget" 203 0.00537713207547492 2.78362194688104
"pure" 157 0.00541201971462055 2.78152317216794
"stay" 925 0.00544404267500612 -2.77960745553242
"no_taste" 183 0.0055732291611996 -2.77198097249826
"bison" 532 0.00561026157127418 2.76982419877306
"higher" 460 0.00561549149041511 -2.76952064317287
"early" 1086 0.00565362102813258 2.76731520057311
"arent" 1089 0.00567126722422632 -2.76629906914769
"talking" 821 0.00568470874290296 -2.76552696998459
"mushy" 231 0.00577264784080956 -2.7605158761655
"sign" 858 0.00583092781354107 -2.75723266060101
"bought" 299 0.00590219307953085 -2.7532578856159
"generous" 677 0.00592262527753782 2.75212627226
"already" 1280 0.00594705110307597 2.75077808452105
"pleasant" 1148 0.00602937290867627 2.74627077328309
"desired" 266 0.0060798659554069 -2.74353351838364
"nobody" 361 0.00626677528465843 -2.73357610011498
"bag" 988 0.0063835076619003 -2.72749208878463
"floor" 864 0.00640890935308181 -2.72618144597468
"home" 3810 0.00647703484556676 2.72268933640989
"basically" 881 0.00648342595639691 -2.72236342600799
"leave" 1633 0.00662741738988761 -2.71509622712021
"no_want" 621 0.00671845942564973 -2.71057429072235
"fairly" 847 0.00679163086914213 2.70697971433559
"make" 6758 0.00689826904981062 2.70180290032012
"havent" 1314 0.00690499193317667 2.70147894874953
"within" 784 0.0071351714858439 2.69055482733065
"spoke" 231 0.00716028009992726 -2.68938240841001
"rating" 695 0.00722106794225506 2.68655919810253
"stood" 455 0.00722465501180496 -2.68639326878351
"satisfying" 263 0.00727383521222402 2.68412573417724
"truly" 891 0.00734465451638626 2.68088454393782
"healthy" 614 0.00736471758688041 2.67997141388958
"nearby" 528 0.0076255067265739 -2.66830077535582
"par" 390 0.00770160435006551 -2.66496276291604
"acceptable" 179 0.00773542504129017 -2.66348870207181
"onion" 3976 0.00780376206323371 2.66052780159947
"fashion" 218 0.0080740404055335 2.64904029477683
"neither" 343 0.00829404998874612 -2.63994079056485
"open" 2882 0.00849119944365531 -2.63196842572747
"limited" 715 0.00871664489101609 -2.62305220294608
"effort" 253 0.00882178819814797 -2.61896413631107
"yelling" 202 0.00902256723713899 -2.6112771402593
"no_seem" 159 0.00936804240679648 -2.59840084804571
"build" 727 0.00937091221868251 2.5982956732156
"cool" 2516 0.00940296508726406 2.59712292638212
"terrific" 293 0.00949056718448586 2.59393584689602
"window" 1461 0.00955650794046785 -2.59155409738968
"oh" 2091 0.00955884366270261 2.59147000124089
"super" 3485 0.00974042119124731 2.58498783369476
"everyone" 2805 0.0101182957096005 2.57183620338191
"cheap" 1510 0.0101192459269398 2.57180368709443
"fix" 525 0.0101901645492525 -2.5693845027676
"straight" 379 0.0102046404453523 -2.56889254218813
"matter" 369 0.0103362297343466 -2.56444877368955
"cute" 652 0.010545649635631 2.5574794198081
"endless" 171 0.0105789963223032 2.55638104787668
"today" 2176 0.0105876434946706 -2.556096730486
"usually" 2830 0.0106271422867817 2.55480063821602
"bun" 3055 0.0106430379135415 -2.55428025630499
"gyro" 770 0.010713601252825 2.55197850575617
"id" 3506 0.0107917175300355 -2.549446049525
"thanks" 780 0.0109701061418544 2.54372340619679
"decent" 3290 0.0110021689897593 -2.54270362001018
"plastic" 310 0.0110645757375613 -2.54072626908592
"done" 2978 0.0111156411281044 -2.53911562513423
"popcorn" 140 0.0111928390022943 2.53669317648453
"weve" 1024 0.0113053540829061 2.53318892448179
"bonus" 287 0.0113969552528425 2.53035882481904
"complimentary" 158 0.0118421529863012 2.51688506969301
"given" 1525 0.0119567656170147 -2.51348915799718
"flip" 228 0.0120089926441268 2.51195126201144
"luck" 312 0.0120848472170851 -2.50972814667808
"chose" 789 0.0121150422352954 2.50884664350773
"none" 651 0.0121864511633184 -2.50676967772998
"environment" 603 0.0122406961669306 2.50519912931659
"overly" 359 0.0126622159430638 -2.49320074042564
"unless" 804 0.0127010561122856 -2.4921130438217
"otherwise" 658 0.0128473621133388 -2.48804208436172
"exactly" 870 0.0128514089106042 2.48793006657598
"caught" 198 0.012938897472716 2.4855159293835
"skip" 336 0.0129857410709975 -2.48422926927438
"knew" 981 0.0132554132224756 2.47690101090938
"trip" 1399 0.0134521264620164 2.47163808043283
"think" 5382 0.0137601689516187 -2.46353167412924
"no_in" 470 0.0138162373250064 -2.46207345792255
"register" 429 0.0138503436771584 -2.46118898018876
"fry" 1276 0.0138509681659235 2.46117280330061
"potential" 261 0.0138991823074954 -2.45992579399648
"interested" 264 0.0143597811677375 -2.44820154912758
